Common_Name,Other_Name,Habitat_Cntry
African Elephant,,"['Angola', ' Benin', ' Botswana', ' Burkina Faso', ' Cameroon', ' Central African Republic', ' Chad', ' Congo', ' Congo, The Democratic Republic of the', "" Côte d'Ivoire"", ' Equatorial Guinea', ' Eritrea', ' Ethiopia', ' Ghana', ' Guinea', ' Guinea-Bissau', ' Kenya', ' Liberia', ' Malawi', ' Mali', ' Mozambique', ' Namibia', ' Niger', ' Nigeria', ' Rwanda', ' Senegal', ' Sierra Leone', ' Somalia', ' South Africa', ' South Sudan', ' Tanzania, United Republic of', ' Togo', ' Uganda', ' Zambia', ' Zimbabwe']"
African Wild Dog,,"['Angola', ' Benin', ' Botswana', ' Burkina Faso', ' Central African Republic', ' Chad', ' Ethiopia', ' Kenya', ' Malawi', ' Mozambique', ' Namibia', ' Niger', ' Senegal', ' South Africa', ' South Sudan', ' Sudan', ' Tanzania, United Republic of', ' Zambia', ' Zimbabwe']"
Albacore Tuna,,"['Algeria', ' American Samoa', ' Angola', ' Anguilla', ' Antigua and Barbuda', ' Aruba', ' Australia', ' Bahamas', ' Barbados', ' Belize', ' Benin', ' Bermuda', ' Bonaire, Sint Eustatius and Saba (Saba, Sint Eustatius, Bonaire)', ' Brazil', ' Canada', ' Cape Verde', ' Cayman Islands', ' Chile', ' China', ' Christmas Island', ' Cocos (Keeling) Islands', ' Colombia', ' Comoros', ' Congo', ' Cook Islands', ' Costa Rica', ' Cuba', ' Curaçao', ' Cyprus', "" Côte d'Ivoire"", ' Dominica', ' Dominican Republic', ' Ecuador', ' Egypt', ' El Salvador', ' Equatorial Guinea', ' Fiji', ' France', ' French Guiana', ' French Polynesia', ' Gabon', ' Gambia', ' Ghana', ' Greece', ' Grenada', ' Guadeloupe', ' Guam', ' Guatemala', ' Guinea', ' Guinea-Bissau', ' Guyana', ' Haiti', ' Honduras', ' Hong Kong', ' India', ' Indonesia', ' Ireland', ' Israel', ' Italy', ' Jamaica', ' Japan', ' Jordan', ' Kenya', ' Kiribati', "" Korea, Democratic People's Republic of"", ' Korea, Republic of', ' Lebanon', ' Liberia', ' Libya', ' Madagascar', ' Malaysia', ' Maldives', ' Malta', ' Marshall Islands', ' Martinique', ' Mauritania', ' Mauritius', ' Mayotte', ' Mexico', ' Micronesia, Federated States of ', ' Montserrat', ' Morocco', ' Mozambique', ' Nauru', ' New Caledonia', ' New Zealand', ' Nicaragua', ' Nigeria', ' Niue', ' Norfolk Island', ' Northern Mariana Islands', ' Palau', ' Panama', ' Papua New Guinea', ' Peru', ' Philippines', ' Pitcairn', ' Portugal', ' Puerto Rico', ' Réunion', ' Saint Barthélemy', ' Saint Helena, Ascension and Tristan da Cunha', ' Saint Kitts and Nevis', ' Saint Lucia', ' Saint Martin (French part)', ' Saint Vincent and the Grenadines', ' Samoa', ' Sao Tomé and Principe', ' Senegal', ' Seychelles', ' Sierra Leone', ' Singapore', ' Sint Maarten (Dutch part)', ' Solomon Islands', ' Somalia', ' South Africa', ' Spain', ' Sri Lanka', ' Suriname', ' Syrian Arab Republic', ' Taiwan, Province of China', ' Tanzania, United Republic of', ' Timor-Leste', ' Togo', ' Tokelau', ' Tonga', ' Trinidad and Tobago', ' Tunisia', ' Turkey', ' Turks and Caicos Islands', ' Tuvalu', ' United Kingdom', ' United States', ' United States Minor Outlying Islands', ' Vanuatu', ' Venezuela, Bolivarian Republic of', ' Viet Nam', ' Virgin Islands, British', ' Virgin Islands, U.S.', ' Wallis and Futuna', ' Western Sahara']"
Amazon River Dolphin,,"['Bolivia, Plurinational States of', ' Brazil', ' Colombia', ' Ecuador', ' Peru', ' Venezuela, Bolivarian Republic of']"
Amur Leopard,,['South Sudan']
Arctic Fox,,"['Canada', ' Finland', ' Greenland', ' Iceland', ' Norway', ' Russian Federation', ' Svalbard and Jan Mayen', ' Sweden', ' United States (Alaska)']"
Arctic Wolf,Grey Wolf,"['Afghanistan', ' Albania', ' Armenia', ' Austria', ' Azerbaijan', ' Belarus', ' Belgium', ' Bhutan', ' Bosnia and Herzegovina', ' Bulgaria', ' Canada', ' China', ' Croatia', ' Czech Republic', ' Denmark', ' Estonia', ' Finland', ' France', ' Georgia', ' Germany', ' Greece', ' Greenland', ' Hungary', ' India', ' Iran, Islamic Republic of', ' Iraq', ' Israel', ' Italy', ' Jordan', ' Kazakhstan', "" Korea, Democratic People's Republic of"", ' Korea, Republic of', ' Kyrgyzstan', ' Latvia', ' Libya', ' Lithuania', ' Luxembourg', ' Macedonia, the former Yugoslav Republic of', ' Mexico', ' Moldova', ' Mongolia', ' Montenegro', ' Myanmar', ' Nepal', ' Netherlands', ' Norway', ' Oman', ' Pakistan', ' Poland', ' Portugal', ' Romania', ' Russian Federation', ' Saudi Arabia', ' Serbia', ' Slovakia', ' Slovenia', ' Spain', ' Sweden', ' Switzerland', ' Syrian Arab Republic', ' Tajikistan', ' Turkey', ' Turkmenistan', ' Ukraine', ' United Arab Emirates', ' United States', ' Uzbekistan', ' Yemen']"
Asian Elephant,,"['Bangladesh', ' Bhutan', ' Cambodia', ' China', ' India', ' Indonesia (Kalimantan, Sumatera)', "" Lao People's Democratic Republic"", ' Malaysia (Sabah, Peninsular Malaysia)', ' Myanmar', ' Nepal', ' Sri Lanka', ' Thailand', ' Viet Nam']"
Beluga,Beluga Whale,"['Canada', ' Greenland', ' Russian Federation', ' Svalbard and Jan Mayen', ' United States (Alaska)']"
Bigeye Tuna,,"['American Samoa', ' Angola', ' Anguilla', ' Antigua and Barbuda', ' Argentina', ' Aruba', ' Australia', ' Bahamas', ' Barbados', ' Belize', ' Bermuda', ' Bonaire, Sint Eustatius and Saba (Saba, Sint Eustatius, Bonaire)', ' Brazil', ' Brunei Darussalam', ' Cambodia', ' Canada', ' Cape Verde', ' Cayman Islands', ' Chile', ' China', ' Christmas Island', ' Cocos (Keeling) Islands', ' Colombia', ' Congo, The Democratic Republic of the', ' Cook Islands', ' Costa Rica', ' Cuba', ' Curaçao', "" Côte d'Ivoire"", ' Dominica', ' Dominican Republic', ' Ecuador', ' El Salvador', ' Equatorial Guinea', ' Falkland Islands (Malvinas)', ' Fiji', ' French Guiana', ' French Polynesia', ' Gabon', ' Gambia', ' Ghana', ' Grenada', ' Guadeloupe', ' Guam', ' Guatemala', ' Guinea', ' Guinea-Bissau', ' Guyana', ' Haiti', ' Honduras', ' Hong Kong', ' India', ' Indonesia', ' Ireland', ' Jamaica', ' Japan', ' Kenya', ' Kiribati', "" Korea, Democratic People's Republic of"", ' Korea, Republic of', ' Liberia', ' Madagascar', ' Malaysia', ' Maldives', ' Marshall Islands', ' Martinique', ' Mauritania', ' Mauritius', ' Mexico', ' Micronesia, Federated States of ', ' Montserrat', ' Morocco', ' Mozambique', ' Namibia', ' Nauru', ' New Caledonia', ' New Zealand', ' Nicaragua', ' Nigeria', ' Niue', ' Norfolk Island', ' Northern Mariana Islands', ' Oman', ' Pakistan', ' Palau', ' Panama', ' Papua New Guinea', ' Peru', ' Philippines', ' Pitcairn', ' Portugal', ' Puerto Rico', ' Russian Federation', ' Réunion', ' Saint Barthélemy', ' Saint Kitts and Nevis', ' Saint Lucia', ' Saint Martin (French part)', ' Saint Vincent and the Grenadines', ' Samoa', ' Senegal', ' Seychelles', ' Sierra Leone', ' Singapore', ' Sint Maarten (Dutch part)', ' Solomon Islands', ' Somalia', ' South Africa', ' Spain', ' Sri Lanka', ' Suriname', ' Taiwan, Province of China', ' Tanzania, United Republic of', ' Thailand', ' Timor-Leste', ' Tokelau', ' Tonga', ' Trinidad and Tobago', ' Turks and Caicos Islands', ' Tuvalu', ' United Kingdom', ' United States', ' United States Minor Outlying Islands', ' Uruguay', ' Vanuatu', ' Venezuela, Bolivarian Republic of', ' Viet Nam', ' Virgin Islands, British', ' Virgin Islands, U.S.', ' Wallis and Futuna', ' Yemen']"
